MONDO:0007564 {'OMIM:132600'}
MONDO:0007565 {'OMIM:132700'}
MONDO:0007566 {'OMIM:132800'}
MONDO:0007567 {'OMIM:132850'}
MONDO:0007568 {'OMIM:132900'}
MONDO:0007569 {'OMIM:132990'}
MONDO:0007570 {'OMIM:133000'}
MONDO:0007571 {'OMIM:133020'}
MONDO:0007572 {'OMIM:133100'}
MONDO:0007573 {'OMIM:133180'}
MONDO:0007574 {'OMIM:133190'}
MONDO:0007576 {'OMIM:133239'}
MONDO:0007577 {'OMIM:133240'}
MONDO:0007578 {'OMIM:133260'}
MONDO:0007579 {'OMIM:133270'}
MONDO:0007580 {'OMIM:133300'}
MONDO:0007581 {'OMIM:133500'}
MONDO:0007583 {'OMIM:133600'}
MONDO:0007584 {'OMIM:133690'}
MONDO:0007585 {'OMIM:133700'}
MONDO:0007586 {'OMIM:133701'}
MONDO:0007587 {'OMIM:133705'}
MONDO:0007588 {'OMIM:133750'}
MONDO:0007589 {'OMIM:133780'}
MONDO:0007590 {'OMIM:133900'}
MONDO:0007592 {'OMIM:134200'}
MONDO:0007593 {'OMIM:134300'}
MONDO:0007594 {'OMIM:134400'}
MONDO:0007595 {'OMIM:134430'}
MONDO:0007597 {'OMIM:134510'}
MONDO:0007598 {'OMIM:134520'}
MONDO:0007599 {'OMIM:134540'}
MONDO:0007601 {'OMIM:134610'}
MONDO:0007602 {'OMIM:134700'}
MONDO:0007603 {'OMIM:134750'}
MONDO:0007604 {'OMIM:134780'}
MONDO:0007605 {'OMIM:134900'}
MONDO:0007606 {'OMIM:135100'}
MONDO:0007607 {'OMIM:135150'}
MONDO:0007608 {'OMIM:135290'}
MONDO:0007609 {'OMIM:135300'}
MONDO:0007610 {'OMIM:135400'}
MONDO:0007612 {'OMIM:135550'}
MONDO:0007614 {'OMIM:135700'}
MONDO:0007615 {'OMIM:135750'}
MONDO:0007616 {'OMIM:135800'}
MONDO:0007617 {'OMIM:614562', 'OMIM:135900', 'OMIM:609943'}
